Reader's    Time        People      NationalGeographic
---------------------------------------------------------
562	        362	        646	        508
494	        373	        634	        528
387	        351	        672	        515
302	        358	        646	        503
630	        356	        586	        404
257	        343	        601	        525
690	        344	        669	        524
510	        369	        704	        503
695	        363	        613	        540
865	        368	        667	        465
545	        366	        626	        429
493	        353	        610	        555
463	        367	        637	        632
512	        347	        620	        422
182	        366	        687	        480
567	        379	        694	        444
598	        326	        620	        494
616	        340	        584	        556
671	        341	        599	        488
435	        351	        659	        537
415	        379	        636	        457
352	        358	        691	        495
241	        355	        597	        473
252	        352	        666	        489
439	        378	        638	        509
418	        330	        623	        452
735	        377	        651	        482
454	        347	        701	        503
496	        354	        634	        480
311	        344	        685	        494
770	        371	        686	        396
502	        359	        663	        480
250	        354	        580	        488
229	        354	        643	        475
378	        337	        703	        465
623	        360	        670	        519
233	        333	        652	        487
354	        337	        614	        470
451	        348	        663	        602
467	        330	        690	        469
621	        372	        697	        454
470	        376	        619	        513
420	        355	        613	        472
729	        351	        594	        415
736	        362	        634	        436
355	        359	        612	        520
555	        325	        608	        412
409	        334	        692	        431
597	        361	        678	        404
419	        347	        689	        461
362	        372	        577	        431
343	        370	        596	        439
858	        356	        683	        528
360	        355	        694	        515
507	        333	        626	        464
437	        369	        680	        474
523	        366	        594	        471
374	        376	        580	        559
466	        352	        644	        470
264	        336	        638	        507
740	        360	        604	        332
635	        366	        660	        487
526	        362	        642	        445
711	        338	        605	        398
1.156	    329	        609	        541
340	        373	        583	        371
584	        349	        696	        484
330	        340	        580	        492
384	        374	        655	        454
509	        355	        624	        497
386	        363	        584	        577
512	        348	        670	        448
880	        357	        703	        462
400	        371	        661	        546
425	        375	        604	        513
395	        347	        609	        511
609	        365	        606	        466
363	        340	        578	        483
311	        363	        665	        478
541	        349	        593	        471
390	        342	        625	        491
592	        363	        613	        497
472	        369	        587	        523
603	        346	        614	        551
245	        370	        661	        402
569	        360	        682	        547
511	        334	        643	        408
331	        349	        661	        440
359	        344	        655	        518
325	        334	        650	        469
305	        345	        603	        485
417	        365	        689	        478
551	        332	        582	        485
652	        350	        633	        467
926	        376	        614	        453
388	        361	        577	        452
446	        370	        607	        515
314	        369	        692	        505
521	        355	        615	        508
404	        377	        665	        496
522	        344	        657	        493
350	        335	        597	        469
677	        370	        625	        400
722	        377	        630	        496
694	        359	        632	        388
457	        344	        697	        428
461	        375	        628	        477
358	        372	        630	        510
648	        321	        658	        539
243	        335	        613	        512
817	        327	        676	        552
342	        341	        695	        461
564	        358	        662	        542
641	        355	        635	        446
327	        345	        699	        425
537	        371	        606	        459
636	        352	        596	        481
703	        342	        645	        514
1.017	    379	        696	        464
508	        362	        635	        393
321	        347	        675	        443
576	        356	        701	        536
307	        348	        667	        489
301	        365	        619	        495
495	        376	        607	        556
436	        337	        590	        414
527	        344	        621	        422
426	        355	        592	        488
434	        333	        665	        507
547	        361	        641	        463
399	        322	        602	        420
448	        343	        660	        411
581	        359	        609	        535
224	        356	        691	        453
602	        318	        673	        490
329	        358	        694	        522
368	        338	        698	        479
468	        335	        686	        542
429	        364	        664	        539
599	        350	        589	        484
1.094	    358	        612	        502
381	        363	        582	        538
481	        366	        654	        443
1.051	    350	        655	        488
540	        362	        676	        484
516	        333	        638	        390
381	        352	        681	        475
353	        359	        658	        537
334	        374	        638	        429
643	        348	        616	        394
443	        358	        629	        504
786	        364	        621	        539
684	        356	        593	        524
423	        365	        639	        498
513	        383	        595	        511
634	        369	        616	        448
384	        354	        597	        473
600	        340	        582	        485
697	        362	        683	        534
681	        335	        589	        501
730	        351	        671	        491
445	        361	        640	        437
572	        361	        662	        525
408	        345	        662	        437
766	        353	        649	        506
488	        367	        610	        424
558	        366	        623	        414
423	        354	        581	        549
392	        356	        633	        527
279	        360	        639	        573
284	        340	        651	        466
421	        338	        630	        474
998	        326	        603	        611
670	        377	        685	        512
318	        351	        592	        410
484	        363	        590	        497
792	        320	        616	        480
452	        337	        650	        550
705	        378	        655	        477
389	        368	        600	        505
471	        351	        703	        407
339	        365	        600	        492
477	        352	        689	        522
489	        363	        669	        470
469	        345	        698	        391
828	        353	        588	        419
350	        357	        605	        531
456	        359	        623	        434
404	        359	        682	        439
403	        331	        654	        482
506	        358	        659	        451
773	        327	        629	        478
610	        353	        637	        467
398	        375	        691	        571
472	        332	        679	        455
322	        367	        592	        454
357	        370	        691	        442
834	        352	        583	        343
273	        371	        579	        471
377	        371	        571	        535
663	        367	        628	        543
566	        358	        681	        435
295	        328	        653	        472
214	        343	        680	        459
221	        383	        699	        439
519	        349	        597	        449
638	        369	        641	        521
554	        352	        635	        443
674	        347	        700	        405
453	        380	        621	        533
615	        372	        601	        426
544	        366	        636	        414
438	        364	        623	        496
848	        360	        618	        453
348	        347	        611	        438
501	        349	        656	        503
491	        329	        617	        401
756	        345	        693	        500
1.204	    374	        615	        494
1.504	    368	        700	        500
503	        342	        679	        511
534	        377	        647	        521
619	        350	        630	        459
747	        367	        701	        444
689	        373	        621	        463
958	        377	        595	        501
557	        371	        677	        418
806	        368	        654	        465
715	        365	        588	        440
335	        367	        638	        430
424	        353	        602	        524
651	        330	        667	        497
659	        372	        585	        549
290	        337	        624	        426
568	        328	        684	        427
549	        325	        673	        553
371	        362	        641	        434
449	        327	        586	        462
482	        353	        589	        484
552	        354	        583	        561
450	        375	        657	        506
706	        349	        690	        565
347	        381	        647	        441
366	        361	        581	        544
839	        346	        642	        489
763	        339	        653	        436
327	        374	        599	        594
465	        340	        642	        432
545	        339	        686	        507
371	        343	        625	        493
606	        373	        593	        508
431	        378	        626	        490
575	        360	        672	        486
528	        349	        683	        502
949	        354	        652	        454
480	        364	        674	        430
365	        374	        586	        461
459	        355	        660	        449
667	        357	        611	        466
625	        349	        649	        590
447	        368	        674	        560
473	        356	        649	        445
643	        336	        663	        415
498	        365	        629	        458
333	        372	        682	        472
653	        361	        650	        423
282	        334	        608	        533
646	        368	        651	        479
316	        360	        688	        476
725	        361	        625	        468
408	        341	        576	        499
272	        363	        603	        470
397	        364	        644	        559
499	        361	        632	        450
379	        366	        700	        477
529	        334	        622	        439
605	        332	        605	        510
288	        351	        650	        471
299	        350	        615	        477
490	        365	        680	        360
308	        372	        599	        509
480	        338	        631	        526
532	        327	        602	        450
561	        369	        590	        486
631	        342	        629	        441
409	        372	        696	        436
286	        339	        583	        386
529	        353	        577	        588
550	        348	        592	        516
309	        378	        598	        492
407	        331	        664	        545
300	        355	        622	        516
440	        343	        608	        432
435	        362	        618	        448
389	        359	        581	        463
441	        331	        628	        399
345	        370	        617	        563
237	        371	        698	        479
390	        359	        681	        496
349	        364	        583	        482
677	        360	        694	        529
248	        338	        581	        438
342	        357	        599	        377
459	        346	        613	        553
414	        366	        632	        445
285	        359	        664	        461
582	        362	        683	        499
266	        337	        674	        493
485	        336	        611	        582
382	        383	        687	        475
475	        343	        685	        523
658	        351	        590	        540
430	        325	        631	        392
665	        365	        654	        468
402	        347	        620	        526
217	        365	        645	        536
631	        362	        591	        575
450	        358	        594	        457
618	        352	        693	        568
276	        340	        640	        490
499	        336	        697	        433
345	        380	        693	        531
406	        367	        672	        442
542	        357	        622	        474
413	        373	        678	        492
270	        326	        619	        455
397	        360	        675	        483
370	        329	        675	        502
591	        363	        610	        451
556	        356	        636	        499
476	        349	        646	        457
414	        362	        704	        482
356	        329	        675	        481
564	        359	        587	        481
338	        351	        682	        518
297	        348	        672	        506
822	        353	        703	        435
570	        322	        627	        424
433	        331	        645	        456
477	        367	        666	        479
514	        350	        668	        619
436	        362	        668	        433
483	        352	        589	        476
205	        346	        673	        425
432	        363	        586	        411
487	        357	        658	        423
367	        319	        657	        418
573	        353	        578	        504
444	        374	        610	        469
660	        345	        651	        460
412	        341	        676	        473
341	        370	        632	        529
686	        361	        670	        475
462	        366	        699	        402
855	        364	        620	        505
259	        364	        680	        513
501	        355	        593	        523
418	        356	        594	        491
318	        346	        627	        514
427	        361	        698	        535
